LATITUDE,LONGITUDE,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,PHOTO_URL
40.5696,45.4686,318.9,1.9,1.4,2017-09-09,826,Terra,MODIS,30,6.03,305.6,20.1,D,0.0,/PhotoFile4Wildfire/40.5696_45.4686.png
40.0179,46.1045,329.5,1.0,1.0,2017-09-09,1005,Aqua,MODIS,66,6.03,307.6,17.3,D,0.0,/PhotoFile4Wildfire/40.0179_46.1045.png
40.2802,46.0728,326.8,1.0,1.0,2017-09-09,1005,Aqua,MODIS,69,6.03,309.2,14.5,D,0.0,/PhotoFile4Wildfire/40.2802_46.0728.png
40.289,46.0705,322.3,1.0,1.0,2017-09-09,1005,Aqua,MODIS,31,6.03,308.8,9.5,D,0.0,/PhotoFile4Wildfire/40.289_46.0705.png
41.5277,46.5937,330.56,0.56,0.43,2023-09-28,1012,N,VIIRS,n,2,296.7,5.75,D,0.0,/PhotoFile4Wildfire/41.52773_46.59367_n.png
39.8627,46.92,332.61,0.42,0.38,2020-04-18,958,N,VIIRS,n,2,299.19,3.68,D,0.0,/PhotoFile4Wildfire/39.86274_46.92003_n.png
40.3311,46.69,340.13,0.42,0.37,2020-07-07,958,N,VIIRS,n,2,304.51,2.9,D,0.0,/PhotoFile4Wildfire/40.33106_46.69001_n.png
39.0158,48.7233,344.7,0.5,0.66,2020-07-27,843,N,VIIRS,n,2,301.6,5.2,D,0.0,/PhotoFile4Wildfire/39.01577_48.72327_n.png
40.2263,46.0727,325.52,0.52,0.67,2020-10-20,850,N,VIIRS,n,2,292.48,4.22,D,0.0,/PhotoFile4Wildfire/40.22629_46.07274_n.png
40.2006,46.4667,327.35,0.37,0.58,2020-10-25,1036,N,VIIRS,n,2,295.11,2.04,D,0.0,/PhotoFile4Wildfire/40.20061_46.46672_n.png
39.7748,46.864,329.19,0.34,0.56,2020-10-30,902,N,VIIRS,n,2,294.81,3.42,D,0.0,/PhotoFile4Wildfire/39.77482_46.864_n.png
41.283,46.9087,311.0,1.2,1.1,2021-03-07,806,Terra,MODIS,71,6.03,291.8,11.3,D,0.0,/PhotoFile4Wildfire/41.283_46.9087_71.png
39.1201,48.2873,315.0,1.0,1.0,2021-04-05,735,Terra,MODIS,64,6.03,299.3,6.9,D,0.0,/PhotoFile4Wildfire/39.1201_48.2873_64.png
39.2691,46.8618,337.8,1.6,1.3,2021-06-02,811,Terra,MODIS,85,6.03,314.6,40.0,D,0.0,/PhotoFile4Wildfire/39.2691_46.8618_85.png
